TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y,Latitude,Longitude
Theft from Vehicle,2003,8,18,12,30,11XX GRANVILLE ST,Central Business District,490853.68,5458300.2,49.27738944,-123.1257477
Theft from Vehicle,2003,7,1,11,0,11XX GRANVILLE ST,Central Business District,490853.68,5458300.2,49.27738944,-123.1257477
Theft from Vehicle,2003,5,20,3,0,11XX GRANVILLE ST,Central Business District,490853.68,5458300.2,49.27738944,-123.1257477
Theft from Vehicle,2003,5,16,10,0,11XX GRANVILLE ST,Central Business District,490853.68,5458300.2,49.27738944,-123.1257477
Offence Against a Person,2003,11,17,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Theft from Vehicle,2003,4,21,12,0,11XX GRANVILLE ST,Central Business District,490853.68,5458300.2,49.27738944,-123.1257477
Break and Enter Commercial,2003,5,21,8,20,10XX DAVIE ST,West End,490547.51,5458537.76,49.27952167,-123.1299627
Break and Enter Commercial,2003,12,13,19,0,10XX DAVIE ST,West End,490550.22,5458535.09,49.27949769,-123.1299254
Offence Against a Person,2003,1,1,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Offence Against a Person,2003,5,25,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Theft from Vehicle,2003,3,22,10,0,11XX JERVIS ST,West End,490303.9,5459015.23,49.28381277,-123.1333237
Break and Enter Commercial,2003,2,16,6,0,10XX DAVIE ST,West End,490552.93,5458532.42,49.27947372,-123.129888
Theft from Vehicle,2003,4,29,19,0,11XX HARO ST,West End,490746.68,5459115.7,49.28472338,-123.1272377
Break and Enter Commercial,2003,10,5,5,14,10XX DAVIE ST,West End,490553.93,5458544.27,49.27958033,-123.1298746
Theft from Vehicle,2003,4,2,0,0,11XX HARO ST,West End,490746.68,5459115.7,49.28472338,-123.1272377
Theft from Vehicle,2003,12,28,22,0,11XX GRANVILLE ST,Central Business District,490830.22,5458289.58,49.27729356,-123.12607
Break and Enter Residential/Other,2003,9,16,20,0,65XX ARGYLE ST,Victoria-Fraserview,494768.09,5452400.72,49.22436837,-123.0718537
Theft from Vehicle,2003,10,16,23,30,11XX GRANVILLE ST,Central Business District,490823.85,5458283.18,49.27723589,-123.1261574
Break and Enter Commercial,2003,6,30,5,30,10XX DAVIE ST,West End,490556.64,5458541.6,49.27955635,-123.1298372
Break and Enter Commercial,2003,11,6,18,0,10XX DAVIE ST,West End,490556.64,5458541.6,49.27955635,-123.1298372
Theft from Vehicle,2003,4,3,14,0,11XX GRANT ST,Strathcona,494251.27,5457645.92,49.27154547,-123.0790268
Theft from Vehicle,2003,1,27,20,0,11XX GILFORD ST,West End,489677.27,5459612.68,49.28917665,-123.1419554
Theft from Vehicle,2003,10,22,17,30,11XX GILFORD ST,West End,489669.38,5459617.69,49.28922158,-123.142064
Theft from Vehicle,2003,9,3,18,45,11XX GILFORD ST,West End,489647.2,5459582.16,49.28890161,-123.1423681
Theft from Vehicle,2003,9,2,22,0,11XX GILFORD ST,West End,489647.2,5459582.16,49.28890161,-123.1423681
Mischief,2003,5,10,12,0,41XX ST CATHERINES ST,Kensington-Cedar Cottage,493756.93,5455088.98,49.24854043,-123.0857825
Theft from Vehicle,2003,7,18,19,0,11XX GILFORD ST,West End,489647.2,5459582.16,49.28890161,-123.1423681
Break and Enter Residential/Other,2003,1,26,21,45,65XX BEECHWOOD ST,Kerrisdale,488609.37,5452611.64,49.22618207,-123.1564416
Offence Against a Person,2003,4,10,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Mischief,2003,5,31,7,32,11XX HAMILTON ST,Central Business District,491118.57,5458054.79,49.27518584,-123.1221005
Other Theft,2003,1,6,14,0,7XX THURLOW ST,West End,490974.09,5459161.89,49.28514226,-123.1241117
Theft from Vehicle,2003,7,4,17,0,11XX GILFORD ST,West End,489647.2,5459582.16,49.28890161,-123.1423681
Theft from Vehicle,2003,6,3,16,0,11XX GILFORD ST,West End,489647.2,5459582.16,49.28890161,-123.1423681
Theft from Vehicle,2003,3,24,12,0,11XX GILFORD ST,West End,489647.2,5459582.16,49.28890161,-123.1423681
Theft from Vehicle,2003,8,1,17,30,11XX E PENDER ST,Strathcona,494172.53,5458584.98,49.27999173,-123.0801229
Theft from Vehicle,2003,2,15,16,0,11XX E PENDER ST,Strathcona,494158.36,5458585.35,49.27999492,-123.0803177
Break and Enter Residential/Other,2003,5,7,17,30,18XX E PENDER ST,Grandview-Woodland,495194.46,5458616.88,49.28028756,-123.0660726
Break and Enter Residential/Other,2003,6,2,7,30,18XX E PENDER ST,Grandview-Woodland,495194.46,5458616.88,49.28028756,-123.0660726
Break and Enter Residential/Other,2003,10,5,6,30,18XX E PENDER ST,Grandview-Woodland,495194.46,5458616.88,49.28028756,-123.0660726
Mischief,2003,1,15,21,0,41XX STAULO CRES,Musqueam,485559.71,5452832.92,49.22810821,-123.1983341
Theft from Vehicle,2003,9,1,0,0,11XX E PENDER ST,Strathcona,494093.19,5458587.06,49.28000968,-123.0812138
Theft from Vehicle,2003,6,12,1,0,11XX E PENDER ST,Strathcona,494093.19,5458587.06,49.28000968,-123.0812138
Break and Enter Commercial,2003,5,24,23,30,10XX DENMAN ST,West End,489807.56,5459515.61,49.28830568,-123.1401612
Break and Enter Commercial,2003,5,25,23,30,10XX DENMAN ST,West End,489807.56,5459515.61,49.28830568,-123.1401612
Theft from Vehicle,2003,8,17,18,0,11XX E HASTINGS ST,Strathcona,494228.28,5458709.95,49.28111638,-123.0793582
Theft from Vehicle,2003,9,24,11,45,11XX E HASTINGS ST,Strathcona,494141.12,5458690.14,49.28093736,-123.0805563
Offence Against a Person,2003,6,22,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Offence Against a Person,2003,1,18,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Theft from Vehicle,2003,4,13,13,0,11XX E HASTINGS ST,Strathcona,494094.7,5458689.13,49.28092783,-123.0811945
Theft from Vehicle,2003,9,23,8,0,11XX E BROADWAY AVE,Mount Pleasant,494159.29,5456635.62,49.26245675,-123.0802765
Theft from Vehicle,2003,9,3,12,0,11XX E BROADWAY AVE,Mount Pleasant,494159.29,5456635.62,49.26245675,-123.0802765
Break and Enter Commercial,2003,10,6,3,57,10XX DENMAN ST,West End,489823.44,5459544.73,49.28856788,-123.1399436
Break and Enter Commercial,2003,12,22,3,40,10XX DENMAN ST,West End,489824.84,5459533.13,49.28846356,-123.139924
Theft from Vehicle,2003,8,5,10,30,11XX E BROADWAY AVE,Mount Pleasant,494159.29,5456635.62,49.26245675,-123.0802765
Theft from Vehicle,2003,3,11,18,0,11XX E BROADWAY AVE,Mount Pleasant,494159.29,5456635.62,49.26245675,-123.0802765
Break and Enter Commercial,2003,10,15,23,0,10XX DENMAN ST,West End,489824.97,5459546.29,49.28858194,-123.1399226
Theft from Vehicle,2003,2,25,8,20,11XX E BROADWAY AVE,Mount Pleasant,494159.29,5456635.62,49.26245675,-123.0802765
Theft from Vehicle,2003,5,17,8,0,11XX E BROADWAY AVE,Mount Pleasant,494129.27,5456626.89,49.26237794,-123.0806889
Other Theft,2003,3,14,19,0,7XX THURLOW ST,West End,490975.8,5459163.59,49.28515758,-123.1240882
Offence Against a Person,2003,12,29,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Other Theft,2003,4,3,13,38,7XX THURLOW ST,West End,490975.8,5459163.59,49.28515758,-123.1240882
Break and Enter Residential/Other,2003,6,18,1,30,18XX FRANCES ST,Grandview-Woodland,495069.2,5458507.43,49.27930204,-123.0677935
Break and Enter Residential/Other,2003,10,9,1,0,65XX BUTLER ST,Killarney,497546.45,5452393.11,49.22431735,-123.0336964
Break and Enter Residential/Other,2003,5,4,18,15,65XX BUTLER ST,Killarney,497547.13,5452414.85,49.22451291,-123.0336872
Break and Enter Commercial,2003,7,29,10,40,10XX DENMAN ST,West End,489875.11,5459583.55,49.28891793,-123.139234
Other Theft,2003,5,12,14,50,7XX THURLOW ST,West End,490975.8,5459163.59,49.28515758,-123.1240882
Other Theft,2003,5,19,15,49,7XX THURLOW ST,West End,490975.8,5459163.59,49.28515758,-123.1240882
Theft from Vehicle,2003,4,3,16,0,11XX E GEORGIA ST,Strathcona,494090.41,5458385.8,49.27819928,-123.081249
Theft from Vehicle,2003,12,1,20,0,11XX E BROADWAY AVE,Mount Pleasant,494091.9,5456627.41,49.26238226,-123.0812026
Break and Enter Residential/Other,2003,3,7,6,21,18XX FRANCES ST,Grandview-Woodland,495091.09,5458506.97,49.27929808,-123.0674925
Break and Enter Residential/Other,2003,3,16,4,8,18XX FRANCES ST,Grandview-Woodland,495091.09,5458506.97,49.27929808,-123.0674925
Theft from Vehicle,2003,3,1,11,0,11XX E BROADWAY AVE,Mount Pleasant,494091.9,5456627.41,49.26238226,-123.0812026
Offence Against a Person,2003,5,24,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Theft from Vehicle,2003,2,27,9,0,11XX E BROADWAY AVE,Mount Pleasant,494091.9,5456627.41,49.26238226,-123.0812026
Theft from Vehicle,2003,4,22,4,56,11XX E 6TH AVE,Strathcona,494160.48,5456947.17,49.26525922,-123.0802647
Theft from Vehicle,2003,12,4,23,0,11XX E 63RD AVE,Sunset,493955.37,5451118.62,49.21282806,-123.082996
Theft from Vehicle,2003,6,16,20,30,11XX E 63RD AVE,Sunset,493955.37,5451118.62,49.21282806,-123.082996
Theft from Vehicle,2003,11,10,12,0,11XX E 62ND AVE,Sunset,494048.22,5451231.96,49.21384849,-123.0817228
Vehicle Collision or Pedestrian Struck (with Injury),2003,11,4,22,40,YUKON ST / W 12TH AVE,Mount Pleasant,491778,5456408,49.26038189,-123.1130009
Break and Enter Commercial,2003,10,15,3,41,10XX DENMAN ST,West End,489889.88,5459598.27,49.28905059,-123.1390313
Mischief,2003,5,21,18,0,41XX W 12TH AVE,West Point Grey,485655.44,5456578.64,49.26180388,-123.1971534
Break and Enter Residential/Other,2003,5,5,9,45,18XX FRANCES ST,Grandview-Woodland,495098.58,5458515.96,49.27937901,-123.0673896
Vehicle Collision or Pedestrian Struck (with Injury),2003,7,3,23,24,YEW ST / W 1ST AVE,Kitsilano,488721,5457573,49.27081253,-123.1550482
Offence Against a Person,2003,11,4,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Vehicle Collision or Pedestrian Struck (with Injury),2003,1,11,20,0,X W 12TH AVE,Mount Pleasant,492285,5456371,49.26005568,-123.1060321
Break and Enter Residential/Other,2003,1,15,9,30,65XX CHAMBORD PL,Killarney,498116.64,5452379.01,49.22419254,-123.0258655
Break and Enter Residential/Other,2003,1,14,11,49,65XX CHAMBORD PL,Killarney,498116.71,5452386.98,49.22426423,-123.0258645
Break and Enter Residential/Other,2003,3,16,3,30,18XX FRANCES ST,Grandview-Woodland,495142.17,5458505.92,49.27928905,-123.0667902
Break and Enter Residential/Other,2003,4,5,17,10,18XX FRANCES ST,Grandview-Woodland,495142.17,5458505.92,49.27928905,-123.0667902
Break and Enter Residential/Other,2003,4,9,10,40,18XX FRANCES ST,Grandview-Woodland,495142.17,5458505.92,49.27928905,-123.0667902
Break and Enter Commercial,2003,8,10,11,10,10XX DENMAN ST,West End,489912.97,5459634.17,49.28937389,-123.1387146
Break and Enter Residential/Other,2003,11,3,7,0,18XX FRANCES ST,Grandview-Woodland,495142.17,5458505.92,49.27928905,-123.0667902
Vehicle Collision or Pedestrian Struck (with Injury),2003,7,4,14,8,X STANLEY PARK CSWY,Stanley Park,490050.59,5460277.25,49.29516074,-123.1368381
Break and Enter Residential/Other,2003,2,20,12,0,18XX FRANCES ST,Grandview-Woodland,495156.77,5458505.61,49.27928637,-123.0665895
Break and Enter Commercial,2003,12,1,4,45,10XX DENMAN ST,West End,489919.42,5459627.69,49.28931571,-123.1386258
Break and Enter Commercial,2003,9,2,17,0,10XX DUNSMUIR ST,Central Business District,491238.73,5459258.69,49.28601684,-123.1204749
Vehicle Collision or Pedestrian Struck (with Injury),2003,8,28,18,11,X HWY / E 1ST AV,Hastings-Sunrise,497925,5457402,49.26937486,-123.0285234
Offence Against a Person,2003,10,17,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Offence Against a Person,2003,3,22,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Mischief,2003,10,11,14,45,13XX MAIN ST,Central Business District,492714.39,5457808.24,49.27298918,-123.1001569
Break and Enter Residential/Other,2003,2,20,15,10,18XX FRANCES ST,Grandview-Woodland,495156.77,5458505.61,49.27928637,-123.0665895
Break and Enter Residential/Other,2003,2,13,17,0,65XX CHAMBORD PL,Killarney,498169.59,5452368.8,49.22410086,-123.0251382
Vehicle Collision or Pedestrian Struck (with Injury),2003,8,14,14,52,X HWY / E 1ST AV,Hastings-Sunrise,497925,5457402,49.26937486,-123.0285234
Vehicle Collision or Pedestrian Struck (with Injury),2003,7,23,16,0,X HWY / E 1ST AV,Hastings-Sunrise,497925,5457402,49.26937486,-123.0285234
Offence Against a Person,2003,10,4,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Vehicle Collision or Pedestrian Struck (with Injury),2003,2,15,14,40,X EXPO BLVD,Central Business District,492342,5458331,49.27768695,-123.1052863
Break and Enter Commercial,2003,1,16,21,0,10XX E 54TH AVE,Sunset,493804.81,5451982.71,49.22059928,-123.0850766
Vehicle Collision or Pedestrian Struck (with Injury),2003,4,1,15,11,X BLOCK W 1ST AVE,Mount Pleasant,492318,5457475,49.26998678,-123.1055998
Vehicle Collision or Pedestrian Struck (with Injury),2003,7,1,14,55,X BLOCK ALEXANDER ST,Central Business District,492509,5458965,49.28339195,-123.1030021
Break and Enter Commercial,2003,8,5,17,0,10XX E 59TH AVE,Sunset,493782.62,5451519.64,49.21643362,-123.0853742
Vehicle Collision or Pedestrian Struck (with Injury),2003,1,20,11,0,WOODLAND DR / N GRANDVIEW HWY,Grandview-Woodland,494645,5456918,49.26500126,-123.0736045
Offence Against a Person,2003,11,23,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Mischief,2003,4,4,19,0,41XX W 16TH AVE,Dunbar-Southlands,485641.85,5456156.05,49.2580023,-123.197325
Vehicle Collision or Pedestrian Struck (with Injury),2003,6,1,16,50,WINDERMERE ST / E 1ST AVE,Hastings-Sunrise,497349,5457400,49.26935465,-123.0364412
Vehicle Collision or Pedestrian Struck (with Injury),2003,4,28,19,35,WILLOW ST / W 8TH AVE,Fairview,491138,5456836,49.26422289,-123.1218063
Vehicle Collision or Pedestrian Struck (with Injury),2003,8,27,20,35,WELWYN ST / KINGSWAY AVE,Kensington-Cedar Cottage,494909,5454960,49.2473909,-123.0699509
Offence Against a Person,2003,2,23,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Vehicle Collision or Pedestrian Struck (with Injury),2003,9,26,11,16,W PENDER ST / SEYMOUR ST,Central Business District,491721,5459035,49.28401144,-123.1138387
Vehicle Collision or Pedestrian Struck (with Injury),2003,5,15,21,22,W PENDER ST / NICOLA ST,Central Business District,490618,5459706,49.29003125,-123.1290209
Vehicle Collision or Pedestrian Struck (with Injury),2003,10,9,2,30,W PENDER ST / ABBOTT ST,Central Business District,492175,5458706,49.28105802,-123.1075896
Vehicle Collision or Pedestrian Struck (with Injury),2003,10,31,1,41,W KING EDWARD AVE / GRANVILLE ST,Shaughnessy,489877,5455202,49.24950519,-123.1390972
Break and Enter Residential/Other,2003,7,13,22,0,65XX DAWSON ST,Killarney,496441.68,5452384.02,49.22423016,-123.0488689
Break and Enter Residential/Other,2003,4,30,5,0,18XX FRANCES ST,Grandview-Woodland,495164.25,5458514.61,49.27936739,-123.0664867
Break and Enter Residential/Other,2003,11,23,19,30,18XX FRANCES ST,Grandview-Woodland,495164.25,5458514.61,49.27936739,-123.0664867
Vehicle Collision or Pedestrian Struck (with Injury),2003,4,21,10,0,W KING EDWARD AVE / CAMBIE ST,South Cambie,491601,5455148,49.24904554,-123.1154071
Offence Against a Person,2003,8,1,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Vehicle Collision or Pedestrian Struck (with Injury),2003,8,21,20,0,W KING EDWARD AVE / BLENHEIM ST,Dunbar-Southlands,486999,5455277,49.25012544,-123.1786452
Vehicle Collision or Pedestrian Struck (with Injury),2003,8,8,10,45,W KING EDWARD AVE / BLENHEIM ST,Dunbar-Southlands,486999,5455277,49.25012544,-123.1786452
Mischief,2003,1,2,3,51,41XX W 8TH AVE,West Point Grey,485688.26,5456979.52,49.26541063,-123.1967166
Mischief,2003,7,28,0,59,41XX W 8TH AVE,West Point Grey,485688.26,5456979.52,49.26541063,-123.1967166
Vehicle Collision or Pedestrian Struck (with Injury),2003,5,5,18,10,W KING EDWARD AVE / BLENHEIM ST,Dunbar-Southlands,486999,5455277,49.25012544,-123.1786452
Offence Against a Person,2003,12,14,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Offence Against a Person,2003,4,14,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Vehicle Collision or Pedestrian Struck (with Injury),2003,10,31,7,16,W KING EDWARD AVE / ANGUS DR,Shaughnessy,489366,5455214,49.24960446,-123.146119
Mischief,2003,4,14,2,38,11XX HAMILTON ST,Central Business District,491141.99,5458091.31,49.27551468,-123.1217793
Vehicle Collision or Pedestrian Struck (with Injury),2003,8,5,14,47,W KENT AV N / MANITOBA ST,Marpole,491971,5450458,49.20686281,-123.1102292
Break and Enter Commercial,2003,4,3,11,4,10XX E CORDOVA ST,Strathcona,494033.14,5458795.62,49.28188513,-123.0820425
Vehicle Collision or Pedestrian Struck (with Injury),2003,2,5,15,23,W HASTINGS ST / ABBOTT ST,Central Business District,492203,5458810,49.28199387,-123.1072066
Break and Enter Commercial,2003,5,2,17,0,10XX E CORDOVA ST,Strathcona,494073.88,5458803.74,49.28195856,-123.0814825
Break and Enter Commercial,2003,10,17,17,0,10XX E CORDOVA ST,Strathcona,494073.88,5458803.74,49.28195856,-123.0814825
Vehicle Collision or Pedestrian Struck (with Injury),2003,9,6,16,4,W GEORGIA ST / NICOLA ST,West End,490590,5459678,49.28977895,-123.1294053
Break and Enter Commercial,2003,1,1,23,19,10XX E GEORGIA ST,Strathcona,494077.84,5458386.1,49.27820186,-123.0814218
Break and Enter Commercial,2003,1,18,18,12,10XX E GEORGIA ST,Strathcona,494077.84,5458386.1,49.27820186,-123.0814218
Break and Enter Residential/Other,2003,1,9,15,37,65XX DOMAN ST,Killarney,497335.8,5452377.25,49.22417381,-123.0365893
Break and Enter Residential/Other,2003,8,9,18,0,18XX FRANKLIN ST,Grandview-Woodland,495047.81,5458820.66,49.28211943,-123.0680914
Break and Enter Residential/Other,2003,11,9,15,30,18XX FRANKLIN ST,Grandview-Woodland,495047.81,5458820.66,49.28211943,-123.0680914
Break and Enter Commercial,2003,5,2,18,0,10XX E GEORGIA ST,Strathcona,494077.84,5458386.1,49.27820186,-123.0814218
Break and Enter Commercial,2003,10,29,5,18,10XX E GEORGIA ST,Strathcona,494077.84,5458386.1,49.27820186,-123.0814218
Vehicle Collision or Pedestrian Struck (with Injury),2003,5,2,21,0,W GEORGIA ST / HOMER ST,Central Business District,491620,5458653,49.28057392,-123.1152194
Vehicle Collision or Pedestrian Struck (with Injury),2003,11,23,20,40,W GEORGIA ST / DENMAN ST,West End,490276,5459994,49.2926165,-123.1337311
Break and Enter Residential/Other,2003,3,31,18,0,18XX FRANKLIN ST,Grandview-Woodland,495167.5,5458818.5,49.28210096,-123.0664457
Break and Enter Residential/Other,2003,4,30,17,30,18XX GARDEN DR,Grandview-Woodland,495782,5457242.18,49.26792622,-123.0579799
Offence Against a Person,2003,1,1,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Offence Against a Person,2003,3,1,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Vehicle Collision or Pedestrian Struck (with Injury),2003,11,16,11,35,W GEORGIA ST / DENMAN ST,West End,490276,5459994,49.2926165,-123.1337311
Vehicle Collision or Pedestrian Struck (with Injury),2003,8,21,7,10,W GEORGIA ST / CHILCO ST,Stanley Park,490066,5460204,49.2945021,-123.1366244
Break and Enter Residential/Other,2003,12,1,9,48,18XX GRANT ST,Grandview-Woodland,495131.3,5457611.54,49.27124385,-123.0669288
Vehicle Collision or Pedestrian Struck (with Injury),2003,9,4,15,13,W GEORGIA ST / BUTE ST,West End,490885,5459383,49.28712986,-123.1253418
Break and Enter Residential/Other,2003,7,10,14,0,18XX GRANT ST,Grandview-Woodland,495149.26,5457611.43,49.271243,-123.0666819
Break and Enter Residential/Other,2003,12,8,13,0,65XX EAST BOULEVARD,Kerrisdale,488802.72,5452594.65,49.2260328,-123.1537856
Vehicle Collision or Pedestrian Struck (with Injury),2003,7,23,7,15,W GEORGIA ST / BUTE ST,West End,490885,5459383,49.28712986,-123.1253418
Vehicle Collision or Pedestrian Struck (with Injury),2003,6,6,17,5,W GEORGIA ST / BURRARD ST,West End,491193,5459080,49.28440884,-123.1210998
Mischief,2003,6,2,21,0,41XX YUCULTA CRES,Musqueam,485551.22,5452885.64,49.22858224,-123.1984526
Vehicle Collision or Pedestrian Struck (with Injury),2003,2,14,9,20,W GEORGIA ST / BURRARD ST,West End,491193,5459080,49.28440884,-123.1210998
Vehicle Collision or Pedestrian Struck (with Injury),2003,12,17,15,40,W GEORGIA ST / BROUGHTON ST,West End,490675,5459591,49.28899768,-123.1282344
Vehicle Collision or Pedestrian Struck (with Injury),2003,7,19,18,11,W GEORGIA ST / BROUGHTON ST,West End,490675,5459591,49.28899768,-123.1282344
Mischief,2003,7,19,23,0,42XX ARBUTUS ST,Arbutus Ridge,488840.87,5455054.2,49.24815768,-123.1533301
Mischief,2003,11,21,13,45,42XX ARBUTUS ST,Arbutus Ridge,488840.87,5455054.2,49.24815768,-123.1533301
Vehicle Collision or Pedestrian Struck (with Injury),2003,11,26,0,0,W GEORGIA ST / BEATTY ST,Central Business District,491835,5458445,49.27870583,-123.1122591
Vehicle Collision or Pedestrian Struck (with Injury),2003,10,30,15,30,W BROADWAY AVE / YUKON ST,Mount Pleasant,491786,5456719,49.2631795,-123.1128973
Vehicle Collision or Pedestrian Struck (with Injury),2003,3,5,11,20,W BROADWAY AVE / YEW ST,Kitsilano,488701,5456800,49.2638589,-123.1553013
Vehicle Collision or Pedestrian Struck (with Injury),2003,1,9,18,40,W BROADWAY AVE / VINE ST,Kitsilano,488530,5456804,49.2638917,-123.1576517
Break and Enter Residential/Other,2003,4,3,20,45,65XX FREMLIN ST,Oakridge,490765.62,5452572.53,49.22586657,-123.1268263
Vehicle Collision or Pedestrian Struck (with Injury),2003,5,29,2,30,W BROADWAY AVE / OAK ST,Fairview,490787,5456745,49.26339915,-123.1266287
Break and Enter Residential/Other,2003,12,29,10,45,18XX GRAVELEY ST,Grandview-Woodland,495132.61,5457523.19,49.27044914,-123.0669097
Break and Enter Residential/Other,2003,10,31,9,0,18XX GRAVELEY ST,Grandview-Woodland,495160.85,5457522.44,49.27044261,-123.0665215
Offence Against a Person,2003,10,11,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Break and Enter Commercial,2003,4,12,10,30,10XX GILFORD ST,West End,489790.08,5459725.23,49.29019095,-123.1404069
Vehicle Collision or Pedestrian Struck (with Injury),2003,7,22,7,30,W BROADWAY AVE / MANITOBA ST,Mount Pleasant,492227,5456703,49.26304134,-123.1068357
Break and Enter Commercial,2003,5,3,4,59,10XX GRANVILLE ST,Central Business District,490945.59,5458405.77,49.27834042,-123.1244865
Vehicle Collision or Pedestrian Struck (with Injury),2003,2,11,8,40,W BROADWAY AVE / HEATHER ST,Fairview,491276,5456732,49.26328938,-123.1199073
Vehicle Collision or Pedestrian Struck (with Injury),2003,3,18,19,50,W BROADWAY AVE / FIR ST,Fairview,489739,5456770,49.26360734,-123.1410336
Vehicle Collision or Pedestrian Struck (with Injury),2003,11,20,12,15,W BROADWAY AVE / ALMA ST,West Point Grey,486476,5456861,49.26436245,-123.1858851
Vehicle Collision or Pedestrian Struck (with Injury),2003,3,20,21,27,W BROADWAY AVE / ALMA ST,West Point Grey,486476,5456861,49.26436245,-123.1858851
Vehicle Collision or Pedestrian Struck (with Injury),2003,4,4,7,45,W 8TH AVE / LARCH ST,Kitsilano,488186,5456916,49.26489261,-123.1623832
Vehicle Collision or Pedestrian Struck (with Injury),2003,3,30,15,30,W 8TH AVE / LARCH ST,Kitsilano,488186,5456916,49.26489261,-123.1623832
Vehicle Collision or Pedestrian Struck (with Injury),2003,12,27,17,6,W 7TH AVE / HEMLOCK ST,Fairview,490100,5456957,49.26529539,-123.1360764
Vehicle Collision or Pedestrian Struck (with Injury),2003,12,27,22,40,W 7TH AVE / FIR ST,Fairview,489752,5456966,49.26537061,-123.1408599
Vehicle Collision or Pedestrian Struck (with Injury),2003,8,26,12,30,W 7TH AVE / CAMBIE ST,Mount Pleasant,491652,5456913,49.26492276,-123.1147431
Break and Enter Residential/Other,2003,3,13,15,59,18XX GREER AVE,Kitsilano,489300.72,5457879.19,49.27357718,-123.1470872
Vehicle Collision or Pedestrian Struck (with Injury),2003,7,24,8,0,W 7TH AVE / ALBERTA ST,Mount Pleasant,491932,5456896,49.2647736,-123.1108942
Break and Enter Commercial,2003,11,23,9,30,10XX GRANVILLE ST,Central Business District,490954.23,5458401.52,49.27830232,-123.1243676
Break and Enter Residential/Other,2003,11,15,15,0,18XX GREER AVE,Kitsilano,489339.65,5457871.39,49.2735077,-123.1465518
Vehicle Collision or Pedestrian Struck (with Injury),2003,8,30,8,14,W 71ST AVE / HUDSON ST,Marpole,490191,5450473,49.20697184,-123.1346669
Vehicle Collision or Pedestrian Struck (with Injury),2003,1,26,12,36,W 70TH AVE / SHAUGHNESSY ST,Marpole,490614,5450636,49.20844469,-123.1288634
Vehicle Collision or Pedestrian Struck (with Injury),2003,6,14,1,40,W 70TH AVE / LAUREL ST,Marpole,490811,5450632,49.2084117,-123.1261587
Vehicle Collision or Pedestrian Struck (with Injury),2003,11,5,16,14,W 70TH AVE / HEATHER ST,Marpole,490952,5450627,49.20836882,-123.1242227
Vehicle Collision or Pedestrian Struck (with Injury),2003,1,18,11,0,W 70TH AVE / HEATHER ST,Marpole,490952,5450627,49.20836882,-123.1242227
Vehicle Collision or Pedestrian Struck (with Injury),2003,12,4,20,3,W 6TH AVE / HEATHER ST,Fairview,491285,5457018,49.26586213,-123.1197898
Vehicle Collision or Pedestrian Struck (with Injury),2003,2,28,10,51,W 6TH AVE / HEATHER ST,Fairview,491285,5457018,49.26586213,-123.1197898
Mischief,2003,10,18,21,30,42XX CARTIER ST,Shaughnessy,490051.2,5455037.47,49.24802806,-123.1366994
Break and Enter Residential/Other,2003,5,2,5,34,18XX HARO ST,West End,489971.91,5459883.58,49.29161834,-123.1379104
Vehicle Collision or Pedestrian Struck (with Injury),2003,4,16,17,5,W 6TH AVE / BURRARD ST,Kitsilano,489402,5457070,49.26630015,-123.1456734
Vehicle Collision or Pedestrian Struck (with Injury),2003,4,2,8,16,W 63RD AVE / YUKON ST,Marpole,491650,5451159,49.21316421,-123.1146508
Vehicle Collision or Pedestrian Struck (with Injury),2003,10,4,9,10,W 62ND AVE / EAST BOULEVARD BLVD,Marpole,489255,5451370,49.21502489,-123.1475412
Offence Against a Person,2003,10,2,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Vehicle Collision or Pedestrian Struck (with Injury),2003,8,9,9,6,W 57TH AVE / GRANVILLE ST,Marpole,489795,5451847,49.21932485,-123.1401385
Break and Enter Residential/Other,2003,2,12,17,0,65XX INVERNESS ST,Sunset,494165.48,5452453.64,49.22483896,-123.0801305
Vehicle Collision or Pedestrian Struck (with Injury),2003,10,5,12,45,W 54TH AVE / OAK ST,Oakridge,490642,5452091,49.22153322,-123.1285129
